time,temperature_C,precipitation_mm,wind_speed_kmh,month,day,hour
2025-10-01 00:00:00+00:00,7.9,0.0,7.5,10,1,0
2025-10-01 01:00:00+00:00,7.8,0.0,7.0,10,1,1
2025-10-01 02:00:00+00:00,8.0,0.0,7.7,10,1,2
2025-10-01 03:00:00+00:00,8.7,0.0,9.4,10,1,3
2025-10-01 04:00:00+00:00,8.7,0.0,10.5,10,1,4
2025-10-01 05:00:00+00:00,8.9,0.0,10.2,10,1,5
2025-10-01 06:00:00+00:00,8.9,0.0,10.1,10,1,6
2025-10-01 07:00:00+00:00,9.1,0.0,11.3,10,1,7
2025-10-01 08:00:00+00:00,9.6,0.0,10.9,10,1,8
2025-10-01 09:00:00+00:00,10.8,0.1,11.5,10,1,9
2025-10-01 10:00:00+00:00,11.6,0.0,10.9,10,1,10
2025-10-01 11:00:00+00:00,12.5,0.0,12.2,10,1,11
2025-10-01 12:00:00+00:00,13.1,0.0,11.3,10,1,12
2025-10-01 13:00:00+00:00,13.4,0.0,13.2,10,1,13
2025-10-01 14:00:00+00:00,13.2,0.0,14.3,10,1,14
2025-10-01 15:00:00+00:00,13.1,0.0,13.6,10,1,15
2025-10-01 16:00:00+00:00,12.1,0.0,11.5,10,1,16
2025-10-01 17:00:00+00:00,10.2,0.0,9.4,10,1,17
2025-10-01 18:00:00+00:00,9.1,0.0,11.0,10,1,18
2025-10-01 19:00:00+00:00,8.4,0.0,10.9,10,1,19
2025-10-01 20:00:00+00:00,7.8,0.0,11.8,10,1,20
2025-10-01 21:00:00+00:00,6.9,0.0,10.6,10,1,21
2025-10-01 22:00:00+00:00,6.2,0.0,9.9,10,1,22
2025-10-01 23:00:00+00:00,5.6,0.0,10.7,10,1,23
2025-10-02 00:00:00+00:00,4.8,0.0,10.3,10,2,0
2025-10-02 01:00:00+00:00,4.2,0.0,9.0,10,2,1
2025-10-02 02:00:00+00:00,3.9,0.0,8.0,10,2,2
2025-10-02 03:00:00+00:00,3.5,0.0,7.0,10,2,3
2025-10-02 04:00:00+00:00,3.2,0.0,6.4,10,2,4
2025-10-02 05:00:00+00:00,2.7,0.0,6.2,10,2,5
2025-10-02 06:00:00+00:00,3.0,0.0,7.1,10,2,6
2025-10-02 07:00:00+00:00,4.7,0.0,6.9,10,2,7
2025-10-02 08:00:00+00:00,6.9,0.0,11.5,10,2,8
2025-10-02 09:00:00+00:00,8.9,0.0,10.1,10,2,9
2025-10-02 10:00:00+00:00,10.1,0.0,9.7,10,2,10
2025-10-02 11:00:00+00:00,10.9,0.0,9.9,10,2,11
2025-10-02 12:00:00+00:00,11.9,0.0,9.6,10,2,12
2025-10-02 13:00:00+00:00,12.5,0.0,9.8,10,2,13
2025-10-02 14:00:00+00:00,12.6,0.0,9.8,10,2,14
2025-10-02 15:00:00+00:00,12.5,0.0,10.4,10,2,15
2025-10-02 16:00:00+00:00,11.8,0.0,6.4,10,2,16
2025-10-02 17:00:00+00:00,8.8,0.0,5.5,10,2,17
2025-10-02 18:00:00+00:00,8.1,0.0,6.6,10,2,18
2025-10-02 19:00:00+00:00,7.9,0.0,10.2,10,2,19
2025-10-02 20:00:00+00:00,7.1,0.0,10.4,10,2,20
2025-10-02 21:00:00+00:00,6.3,0.0,10.7,10,2,21
2025-10-02 22:00:00+00:00,5.7,0.0,9.8,10,2,22
2025-10-02 23:00:00+00:00,5.1,0.0,8.9,10,2,23
2025-10-03 00:00:00+00:00,3.4,0.0,5.5,10,3,0
2025-10-03 01:00:00+00:00,2.4,0.0,4.8,10,3,1
2025-10-03 02:00:00+00:00,2.2,0.0,2.4,10,3,2
2025-10-03 03:00:00+00:00,1.8,0.0,3.3,10,3,3
2025-10-03 04:00:00+00:00,1.5,0.0,3.8,10,3,4
2025-10-03 05:00:00+00:00,1.9,0.0,0.9,10,3,5
2025-10-03 06:00:00+00:00,2.5,0.0,1.1,10,3,6
2025-10-03 07:00:00+00:00,3.5,0.0,2.1,10,3,7
2025-10-03 08:00:00+00:00,5.3,0.0,1.6,10,3,8
2025-10-03 09:00:00+00:00,7.0,0.0,3.1,10,3,9
2025-10-03 10:00:00+00:00,8.6,0.0,2.2,10,3,10
2025-10-03 11:00:00+00:00,10.5,0.0,0.6,10,3,11
2025-10-03 12:00:00+00:00,10.5,0.0,3.9,10,3,12
2025-10-03 13:00:00+00:00,11.3,0.0,3.6,10,3,13
2025-10-03 14:00:00+00:00,11.6,0.0,1.6,10,3,14
2025-10-03 15:00:00+00:00,11.4,0.0,1.0,10,3,15
2025-10-03 16:00:00+00:00,11.0,0.0,1.5,10,3,16
2025-10-03 17:00:00+00:00,9.6,0.0,1.6,10,3,17
2025-10-03 18:00:00+00:00,8.8,0.0,1.0,10,3,18
2025-10-03 19:00:00+00:00,8.4,0.0,0.8,10,3,19
2025-10-03 20:00:00+00:00,7.9,0.0,3.9,10,3,20
2025-10-03 21:00:00+00:00,8.1,0.0,1.8,10,3,21
2025-10-03 22:00:00+00:00,8.4,0.0,1.7,10,3,22
2025-10-03 23:00:00+00:00,8.1,0.0,4.2,10,3,23
2025-10-04 00:00:00+00:00,8.7,0.0,4.6,10,4,0
2025-10-04 01:00:00+00:00,9.1,0.0,7.1,10,4,1
2025-10-04 02:00:00+00:00,9.4,0.0,6.5,10,4,2
2025-10-04 03:00:00+00:00,9.9,0.0,9.2,10,4,3
2025-10-04 04:00:00+00:00,10.9,0.0,12.8,10,4,4
2025-10-04 05:00:00+00:00,12.1,0.0,16.9,10,4,5
2025-10-04 06:00:00+00:00,11.8,0.0,14.9,10,4,6
2025-10-04 07:00:00+00:00,12.9,0.0,13.2,10,4,7
2025-10-04 08:00:00+00:00,13.4,0.0,15.8,10,4,8
2025-10-04 09:00:00+00:00,15.0,0.0,16.7,10,4,9
